﻿Category,Title,Date,Summary,Article URL,Source
IRS,"Treasury, IRS issue final regulations listing occupations where workers customarily and regularly receive tips under the One, Big, Beautiful Bill",2026-04-10T00:00:00Z,"IR-2026-49, April 10, 2026 — The Department of the Treasury and the Internal Revenue Service today issued final regulations on the “No Tax on Tips” provision.",https://www.irs.gov/newsroom/treasury-irs-issue-final-regulations-listing-occupations-where-workers-customarily-and-regularly-receive-tips-under-the-one-big-beautiful-bill,IRS
IRS,"Treasury, IRS issue proposed regulations on the new remittance transfer tax established under the One, Big, Beautiful Bill",2026-04-10T00:00:00Z,"IR-2026-48, April 10, 2026 — The Department of the Treasury and the Internal Revenue Service today issued proposed regulations that would provide rules and definitions related to the new excise tax imposed on certain remittance transfers, also referred to as the remittance transfer tax, under the One, Big, Beautiful Bill.",https://www.irs.gov/newsroom/treasury-irs-issue-proposed-regulations-on-the-new-remittance-transfer-tax-established-under-the-one-big-beautiful-bill,IRS
Mortgage,MPF Announcement 2026-17,2026-04-10T00:00:00Z,Auto synopsis: FHLB MPF item in Mortgage — MPF Announcement 2026-17.,https://www.fhlbmpf.com/program-guidelines/mpf-program-updates/mpf-announcement-2026-17,FHLB MPF
Legislative,Senator Warren Statement on March 2026 CPI,2026-04-10T00:00:00Z,Auto synopsis: Senate Banking item in Legislative — Senator Warren Statement on March 2026 CPI.,https://www.banking.senate.gov/newsroom/minority/senator-warren-statement-on-march-2026-cpi,Senate Banking
Legislative,Warren Releases New Report on “Trump Fees” Costing Americans More Than $86 Billion Every Year,2026-04-10T00:00:00Z,Auto synopsis: Senate Banking item in Legislative — Warren Releases New Report on “Trump Fees” Costing Americans More Than $86 Billion Every Year.,https://www.banking.senate.gov/newsroom/minority/warren-releases-new-report-on-trump-fees-costing-americans-more-than-86-billion-every-year,Senate Banking
Legislative,"Warren, Schiff, and Blumenthal Investigate Trump Mar-a-Lago Memecoin Conference",2026-04-10T00:00:00Z,"Auto synopsis: Senate Banking item in Legislative — Warren, Schiff, and Blumenthal Investigate Trump Mar-a-Lago Memecoin Conference.",https://www.banking.senate.gov/newsroom/minority/warren-schiff-and-blumenthal-investigate-trump-mar-a-lago-memecoin-conference,Senate Banking
IS,Master AI and automation with 12 courses for just $20,2026-04-10T00:00:00Z,Auto synopsis: BleepingComputer item in IS — Master AI and automation with 12 courses for just $20.,https://www.bleepingcomputer.com/offer/deals/master-ai-and-automation-with-12-courses-for-just-20/,BleepingComputer
Federal Register,Anti-Money Laundering and Countering the Financing of Terrorism Programs,2026-04-10T00:00:00Z,"Pursuant to the Department of the Treasury (Treasury) and FinCEN's efforts to modernize the Bank Secrecy Act (BSA) and to implement provisions of the Anti-Money Laundering Act of 2020 (AML Act), FinCEN is proposing a rule to fundamentally reform the requirements for financial institutions' anti-money laundering and countering the financing of terrorism (AML/CFT) programs. Amon…",https://www.federalregister.gov/documents/2026/04/10/2026-07033/anti-money-laundering-and-countering-the-financing-of-terrorism-programs,Federal Register
Federal Register,Permitted Payment Stablecoin Issuer Anti-Money Laundering/Countering the Financing of Terrorism Program and Sanctions Compliance Program Requirements,2026-04-10T00:00:00Z,"The Department of the Treasury's Financial Crimes Enforcement Network (FinCEN) and Office of Foreign Assets Control (OFAC) are jointly issuing this proposed rule to implement provisions of the Guiding and Establishing National Innovation for U.S. Stablecoins Act (GENIUS Act). Specifically, it implements the GENIUS Act's directive to treat permitted payment stablecoin issuers (…",https://www.federalregister.gov/documents/2026/04/10/2026-06963/permitted-payment-stablecoin-issuer-anti-money-launderingcountering-the-financing-of-terrorism,Federal Register
Federal Register,Prohibition on the Use of Reputation Risk by Regulators,2026-04-10T00:00:00Z,"The Office of the Comptroller of the Currency and the Federal Deposit Insurance Corporation are adopting a final rule to codify the elimination of reputation risk from their supervisory programs. Among other things, the rule prohibits the agencies from criticizing or taking adverse action against an institution on the basis of reputation risk. The rule also prohibits the agenc…",https://www.federalregister.gov/documents/2026/04/10/2026-06947/prohibition-on-the-use-of-reputation-risk-by-regulators,Federal Register
Federal Register,"Formations of, Acquisitions by, and Mergers of Bank Holding Companies",2026-04-10T00:00:00Z,"Auto synopsis: Federal Register item in Federal Register — Formations of, Acquisitions by, and Mergers of Bank Holding Companies.",https://www.federalregister.gov/documents/2026/04/10/2026-07011/formations-of-acquisitions-by-and-mergers-of-bank-holding-companies,Federal Register
Federal Register,Notice of Proposals To Engage In or To Acquire Companies Engaged in Permissible Nonbanking Activities,2026-04-10T00:00:00Z,Auto synopsis: Federal Register item in Federal Register — Notice of Proposals To Engage In or To Acquire Companies Engaged in Permissible Nonbanking Activities.,https://www.federalregister.gov/documents/2026/04/10/2026-07010/notice-of-proposals-to-engage-in-or-to-acquire-companies-engaged-in-permissible-nonbanking,Federal Register
Federal Register,Change in Bank Control Notices; Acquisitions of Shares of a Bank or Bank Holding Company,2026-04-10T00:00:00Z,Auto synopsis: Federal Register item in Federal Register — Change in Bank Control Notices; Acquisitions of Shares of a Bank or Bank Holding Company.,https://www.federalregister.gov/documents/2026/04/10/2026-07009/change-in-bank-control-notices-acquisitions-of-shares-of-a-bank-or-bank-holding-company,Federal Register
Federal Register,Collection of Checks and Other Items by Federal Reserve Banks and Funds Transfers Through the Fedwire Funds Service and the FedNow Service; Regulation J,2026-04-10T00:00:00Z,"The Board is proposing amendments to subpart C of Regulation J (governing the FedNow[supreg] Service) to permit FedNow participants to use intermediaries, other than Reserve Banks, to send funds transfers through the FedNow Service. The Board believes this change could support private-sector cross-border payment solutions by allowing FedNow participants to leverage an intermed…",https://www.federalregister.gov/documents/2026/04/10/2026-06996/collection-of-checks-and-other-items-by-federal-reserve-banks-and-funds-transfers-through-the,Federal Register
Federal Register,Proposed Agency Information Collection Activities; Comment Request,2026-04-10T00:00:00Z,"The Board of Governors of the Federal Reserve System (Board) invites comment on a proposal to extend for three years, with revision, the Survey of Small Business and Farm Lending (FR 2028; OMB No. 7100- 0061).",https://www.federalregister.gov/documents/2026/04/10/2026-06970/proposed-agency-information-collection-activities-comment-request,Federal Register
Federal Register,Anti-Money Laundering and Countering the Financing of Terrorism Programs,2026-04-10T00:00:00Z,"The Office of the Comptroller of the Currency (OCC), Federal Deposit Insurance Corporation (FDIC), and the National Credit Union Administration (NCUA) (collectively, ""the Agencies"" or ""Agency"" when referencing the singular) are inviting comment on a proposed rule that would require banks to establish and maintain effective anti-money laundering and countering the financing of…",https://www.federalregister.gov/documents/2026/04/10/2026-06948/anti-money-laundering-and-countering-the-financing-of-terrorism-programs,Federal Register
Federal Register,GENIUS Act Requirements and Standards for FDIC-Supervised Permitted Payment Stablecoin Issuers and Insured Depository Institutions,2026-04-10T00:00:00Z,"The Federal Deposit Insurance Corporation (FDIC) is soliciting comment on a proposal that would implement certain requirements pursuant to the Guiding and Establishing National Innovation for U.S. Stablecoins Act (GENIUS Act) applicable to FDIC-supervised permitted payment stablecoin issuers and insured depository institutions, clarify deposit insurance coverage for deposits h…",https://www.federalregister.gov/documents/2026/04/10/2026-06974/genius-act-requirements-and-standards-for-fdic-supervised-permitted-payment-stablecoin-issuers-and,Federal Register
Federal Register,Privacy Act of 1974; System of Records,2026-04-10T00:00:00Z,"In accordance with the Privacy Act of 1974, as amended, the Federal Deposit Insurance Corporation (FDIC) is modifying an existing system of records titled FDIC-004, ""Changes in Financial Institution Control Ownership Records."" The information in this system of records is used in support of the FDIC's regulatory and supervisory functions. This modified system of records notice…",https://www.federalregister.gov/documents/2026/04/10/2026-06904/privacy-act-of-1974-system-of-records,Federal Register
Federal Register,Agency Information Collection Activities; Proposed eCollection eComments Requested; Revision of a Previously Approved Collection; Title: Amendment to Registration Statement of Foreign Agents (Form NSD-5),2026-04-10T00:00:00Z,"The Foreign Agents Registration Act (FARA) Unit, Counterintelligence and Export Control Section (CES), National Security Division (NSD), U.S. Department of Justice, is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995.",https://www.federalregister.gov/documents/2026/04/10/2026-07023/agency-information-collection-activities-proposed-ecollection-ecomments-requested-revision-of-a,Federal Register
Federal Register,Agency Information Collection Activities; Proposed eCollection eComments Requested; Revision of a Previously Approved Collection; Exhibit A to Registration Statement of Foreign Agents (Form NSD-3),2026-04-10T00:00:00Z,"The Foreign Agents Registration Act (FARA) Unit, Counterintelligence and Export Control Section (CES), National Security Division (NSD), U.S. Department of Justice, is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995.",https://www.federalregister.gov/documents/2026/04/10/2026-07022/agency-information-collection-activities-proposed-ecollection-ecomments-requested-revision-of-a,Federal Register
Federal Register,Agency Information Collection Activities; Proposed eCollection eComments Requested; Revision of a Previously Approved Collection; Title: Supplemental Statement to Registration Statement of Foreign Agents (Form NSD-2),2026-04-10T00:00:00Z,"The Foreign Agents Registration Act (FARA) Unit, Counterintelligence and Export Control Section (CES), National Security Division (NSD), U.S. Department of Justice, is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995.",https://www.federalregister.gov/documents/2026/04/10/2026-07021/agency-information-collection-activities-proposed-ecollection-ecomments-requested-revision-of-a,Federal Register
Federal Register,Agency Information Collection Activities; Proposed eCollection eComments Requested; Revision of a Previously Approved Collection; Title: Short Form to Registration Statement of Foreign Agents (Form NSD-6),2026-04-10T00:00:00Z,"The Foreign Agents Registration Act (FARA) Unit, Counterintelligence and Export Control Section (CES), National Security Division (NSD), U.S. Department of Justice, is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995.",https://www.federalregister.gov/documents/2026/04/10/2026-07020/agency-information-collection-activities-proposed-ecollection-ecomments-requested-revision-of-a,Federal Register
Federal Register,Agency Information Collection Activities; Proposed eCollection eComments Requested; Revision of a Previously Approved Collection; Title: Registration Statement of Foreign Agents (Form NSD-1),2026-04-10T00:00:00Z,"The Foreign Agents Registration Act (FARA) Unit, Counterintelligence and Export Control Section (CES), National Security Division (NSD), U.S. Department of Justice, is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995.",https://www.federalregister.gov/documents/2026/04/10/2026-07019/agency-information-collection-activities-proposed-ecollection-ecomments-requested-revision-of-a,Federal Register
Federal Register,Agency Information Collection Activities; Proposed eCollection eComments Requested; Revision of a Previously Approved Collection; Exhibit B to Registration Statement of Foreign Agents (Form NSD-4),2026-04-10T00:00:00Z,"The Foreign Agents Registration Act (FARA) Unit, Counterintelligence and Export Control Section (CES), National Security Division (NSD), U.S. Department of Justice, is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995.",https://www.federalregister.gov/documents/2026/04/10/2026-07018/agency-information-collection-activities-proposed-ecollection-ecomments-requested-revision-of-a,Federal Register
Federal Register,"Notice of Lodging of Proposed Consent Decree Under the Comprehensive Environmental Response, Compensation, and Liability Act",2026-04-10T00:00:00Z,"Auto synopsis: Federal Register item in Federal Register — Notice of Lodging of Proposed Consent Decree Under the Comprehensive Environmental Response, Compensation, and Liability Act.",https://www.federalregister.gov/documents/2026/04/10/2026-06975/notice-of-lodging-of-proposed-consent-decree-under-the-comprehensive-environmental-response,Federal Register
OFAC,Treasury Moves to Prevent Abuse of Community Development Financial Institutions (CDFI) Fund Programs,2026-04-09T22:06:20Z,Auto synopsis: Treasury item in OFAC — Treasury Moves to Prevent Abuse of Community Development Financial Institutions (CDFI) Fund Programs.,https://home.treasury.gov/news/press-releases/sb0438,Treasury
IS,"New ‘LucidRook’ malware used in targeted attacks on NGOs, universities",2026-04-09T22:04:31Z,"A new Lua-based malware, called LucidRook, is being used in spear-phishing campaigns targeting non-governmental organizations and universities in Taiwan. [...]",https://www.bleepingcomputer.com/news/security/new-lucidrook-malware-used-in-targeted-attacks-on-ngos-universities/,BleepingComputer
IS,New VENOM phishing attacks steal senior executives' Microsoft logins,2026-04-09T21:37:04Z,"Threat actors using a previously undocumented phishing-as-a-service (PhaaS) platform called ""VENOM"" are targeting credentials of C-suite executives across multiple industries. [...]",https://www.bleepingcomputer.com/news/security/new-venom-phishing-attacks-steal-senior-executives-microsoft-logins/,BleepingComputer
Executive,Advancing the United States-Hungary Bilateral Partnership,2026-04-09T21:01:46Z,Auto synopsis: White House item in Executive — Advancing the United States-Hungary Bilateral Partnership.,https://www.whitehouse.gov/fact-sheets/2026/04/advancing-the-united-states-hungary-bilateral-partnership/,White House
Payment Card Networks,"Visa to Announce Fiscal Second Quarter 2026 Financial Results on April 28, 2026",2026-04-09T20:05:00Z,"SAN FRANCISCO --(BUSINESS WIRE)--Apr. 9, 2026-- Visa (NYSE: V) will report its fiscal second quarter 2026 financial results on Tuesday, April 28, 2026. After market close, Visa will furnish the results with the Securities and Exchange Commission and post them, along with accompanying financial",https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.22281.html,Visa
IS,Healthcare IT solutions provider ChipSoft hit by ransomware attack,2026-04-09T19:46:44Z,Dutch healthcare software vendor ChipSoft has been impacted by a ransomware attack that forced the company to take offline its website and digital services for patients and healthcare providers. [...],https://www.bleepingcomputer.com/news/security/healthcare-it-solutions-provider-chipsoft-hit-by-ransomware-attack/,BleepingComputer
Executive,First Lady Melania Trump’s Statement,2026-04-09T18:59:01Z,Auto synopsis: White House item in Executive — First Lady Melania Trump’s Statement.,https://www.whitehouse.gov/briefings-statements/2026/04/first-lady-melania-trump-statement/,White House
IS,Google Chrome adds infostealer protection against session cookie theft,2026-04-09T18:33:29Z,"Google has rolled out Device Bound Session Credentials (DBSC) protection in Chrome 146 for Windows, designed to block info-stealing malware from harvesting session cookies. [...]",https://www.bleepingcomputer.com/news/security/google-chrome-adds-infostealer-protection-against-session-cookie-theft/,BleepingComputer
IS,"Smart Slider updates hijacked to push malicious WordPress, Joomla versions",2026-04-09T16:15:26Z,"Hackers hijacked the update system for the Smart Slider 3 Pro plugin for WordPress and Joomla, and pushed a malicious version with multiple backdoors. [...]",https://www.bleepingcomputer.com/news/security/smart-slider-updates-hijacked-to-push-malicious-wordpress-joomla-versions/,BleepingComputer
OFAC,Treasury Launches Cybersecurity Information Sharing Initiative for the Digital Asset Industry,2026-04-09T15:00:00Z,Auto synopsis: Treasury item in OFAC — Treasury Launches Cybersecurity Information Sharing Initiative for the Digital Asset Industry.,https://home.treasury.gov/news/press-releases/sb0437,Treasury
Banking,"Federal Reserve Board announces termination of enforcement actions with Crédit Agricole S.A. and Crédit Agricole Corporate and Investment Bank, Mega International Commercial Bank Co., Ltd, and the Goldman Sachs Group, I…",2026-04-09T15:00:00Z,"Federal Reserve Board announces termination of enforcement actions with Crédit Agricole S.A. and Crédit Agricole Corporate and Investment Bank, Mega International Commercial Bank Co., Ltd, and the Goldman Sachs Group, Inc.",https://www.federalreserve.gov/newsevents/pressreleases/enforcement20260409a.htm,FRB
Executive,America 250: Presidential Message on the Anniversary of the Surrender at Appomattox,2026-04-09T14:30:27Z,Auto synopsis: White House item in Executive — America 250: Presidential Message on the Anniversary of the Surrender at Appomattox.,https://www.whitehouse.gov/briefings-statements/2026/04/america-250-presidential-message-on-the-anniversary-of-the-surrender-at-appomattox/,White House
Executive,Presidential Message on National Former Prisoner of War Recognition Day,2026-04-09T14:29:26Z,Auto synopsis: White House item in Executive — Presidential Message on National Former Prisoner of War Recognition Day.,https://www.whitehouse.gov/briefings-statements/2026/04/presidential-message-on-national-former-prisoner-of-war-recognition-day/,White House
Executive,Presidential Message on the Masters Tournament,2026-04-09T14:27:47Z,Auto synopsis: White House item in Executive — Presidential Message on the Masters Tournament.,https://www.whitehouse.gov/briefings-statements/2026/04/presidential-message-on-the-masters-tournament/,White House
IS,"When attackers already have the keys, MFA is just another door to open",2026-04-09T14:02:12Z,Stolen credentials turn authentication systems into the attack surface. Token shows how wearable biometric authentication verifies the user—not the session—blocking phishing relays and MFA bypass. [...],https://www.bleepingcomputer.com/news/security/when-attackers-already-have-the-keys-mfa-is-just-another-door-to-open/,BleepingComputer
IS,CVE-2026-0385 Microsoft Edge (Chromium-based) for Android Spoofing Vulnerability,2026-04-09T14:00:00Z,Auto synopsis: Microsoft MSRC item in IS — CVE-2026-0385 Microsoft Edge (Chromium-based) for Android Spoofing Vulnerability.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-0385,Microsoft MSRC
IS,CVE-2026-26133 M365 Copilot Information Disclosure Vulnerability,2026-04-09T14:00:00Z,Updated CWE value. This is an informational change only.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-26133,Microsoft MSRC
IS,Webinar: From noise to signal - What threat actors are targeting next,2026-04-09T12:20:28Z,"Threat actors often signal their intentions before launching attacks, from dark web chatter to access-broker listings and credential requests. Join our upcoming webinar with Flare Systems to learn how to turn those early warning signs into proactive defensive action before an intrusion begins. [...]",https://www.bleepingcomputer.com/news/security/webinar-from-noise-to-signal-what-threat-actors-are-targeting-next/,BleepingComputer
Fintech Watch,Raiffeisen Bank reaffirms long-standing commitment to powering core retail services with Finastra,2026-04-09T12:00:00Z,Auto synopsis: Finastra item in Fintech Watch — Raiffeisen Bank reaffirms long-standing commitment to powering core retail services with Finastra.,https://www.finastra.com/press-media/raiffeisen-bank-reaffirms-long-standing-commitment-powering-core-retail-services,Finastra
IS,"Eurail says December data breach impacts 300,000 individuals",2026-04-09T10:31:54Z,"Eurail B.V., a European travel operator that provides digital passes covering 33 national railways, says attackers stole the personal information of over 300,000 individuals in a December 2025 data breach. [...]",https://www.bleepingcomputer.com/news/security/eurail-says-december-data-breach-impacts-300-000-individuals/,BleepingComputer
Compliance Watch,Don’t miss the Metro 2® Format Advanced Workshop in Las Vegas!,2026-04-09T10:00:37Z,"Don’t miss the Metro 2® Format Advanced Workshop—an in-person experience Nov. 17-18 in Las Vegas, where complex reporting challenges take center stage—and experienced industry... The post Don’t miss the Metro 2® Format Advanced Workshop in Las Vegas! appeared first on CDIA .",https://www.cdiaonline.org/events/2026/04/09/dont-miss-the-metro-2-format-advanced-workshop-in-las-vegas/,CDIA
IS,Hackers exploiting Acrobat Reader zero-day flaw since December,2026-04-09T09:22:35Z,Attackers have been exploiting a zero-day vulnerability in Adobe Reader using maliciously crafted PDF documents since at least December. [...],https://www.bleepingcomputer.com/news/security/hackers-exploiting-acrobat-reader-zero-day-flaw-since-december/,BleepingComputer
IS,CVE-2026-4897 Polkit: polkit: denial of service via unbounded input processing through standard input,2026-04-09T08:40:37Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-4897,Microsoft MSRC
IS,CVE-2026-21715,2026-04-09T08:40:20Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21715,Microsoft MSRC
IS,CVE-2026-21710,2026-04-09T08:40:13Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21710,Microsoft MSRC
IS,CVE-2026-21716,2026-04-09T08:40:06Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21716,Microsoft MSRC
IS,CVE-2026-21714,2026-04-09T08:39:59Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21714,Microsoft MSRC
IS,CVE-2026-21713,2026-04-09T08:39:52Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21713,Microsoft MSRC
IS,CVE-2026-21717,2026-04-09T08:39:45Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21717,Microsoft MSRC
IS,CVE-2025-66038 OpenSC: `sc_compacttlv_find_tag` can return out-of-bounds pointers,2026-04-09T08:39:38Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-66038,Microsoft MSRC
IS,CVE-2025-66037 OpenSC: Out of Bounds vulnerability,2026-04-09T08:39:31Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-66037,Microsoft MSRC
IS,CVE-2025-66215 OpenSC: Stack-buffer-overflow WRITE in card-oberthur,2026-04-09T08:39:25Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-66215,Microsoft MSRC
IS,CVE-2025-49010 OpenSC: Stack-buffer-overflow WRITE in GET RESPONSE,2026-04-09T08:39:18Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-49010,Microsoft MSRC
IS,CVE-2026-21712,2026-04-09T08:39:07Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21712,Microsoft MSRC
IS,CVE-2026-2673 OpenSSL TLS 1.3 server may choose unexpected key agreement group,2026-04-09T08:38:04Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-2673,Microsoft MSRC
IS,CVE-2026-34445 ONNX: Malicious ONNX models can crash servers by exploiting unprotected object settings.,2026-04-09T08:02:56Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34445,Microsoft MSRC
IS,CVE-2026-34446 ONNX: Arbitrary File Read via ExternalData Hardlink Bypass in ONNX load,2026-04-09T08:02:48Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34446,Microsoft MSRC
IS,CVE-2026-35177 Path traversal issue with zip.vim in Vim,2026-04-09T08:02:39Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-35177,Microsoft MSRC
IS,CVE-2026-34982 Vim modeline bypass via various options affects Vim < 9.2.0276,2026-04-09T08:02:34Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34982,Microsoft MSRC
IS,CVE-2026-35093 Libinput: libinput: unauthorized code execution and information disclosure through lua bytecode plugins,2026-04-09T08:02:29Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-35093,Microsoft MSRC
IS,CVE-2026-28388 NULL Pointer Dereference When Processing a Delta CRL,2026-04-09T08:02:20Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-28388,Microsoft MSRC
IS,CVE-2026-31790 Incorrect Failure Handling in RSA KEM RSASVE Encapsulation,2026-04-09T08:02:14Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-31790,Microsoft MSRC
IS,CVE-2026-28387 Potential Use-after-free in DANE Client Code,2026-04-09T08:02:09Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-28387,Microsoft MSRC
IS,CVE-2026-31789 Heap Buffer Overflow in Hexadecimal Conversion,2026-04-09T08:02:03Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-31789,Microsoft MSRC
IS,CVE-2026-39314 CUPS has an integer underflow in `_ppdCreateFromIPP` causes root cupsd crash via negative `job-password-supported`,2026-04-09T08:01:57Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-39314,Microsoft MSRC
